F,k₋f,k₋s,ka,k₋a
8.0,8.529814970017085,0.12462700653562497,1.1807179576210685,1.4827076186230461
8.1,8.529814970146738,0.12622406410584422,1.1921994549842152,1.4547377573378222
8.2,8.529814970276387,0.1278415874880371,1.2037926003331059,1.4272955207376603
8.3,8.52981497040604,0.1294798389454229,1.2154984793512822,1.400370955687453
8.4,8.52981497053569,0.13113908410204506,1.227318188279652,1.3739542968084701
8.5,8.52981497066534,0.13281959198583929,1.2392528340191535,1.3480359629365106
8.6,8.529814970794991,0.13452163507225315,1.251303534234411,1.3226065536468743
8.7,8.529814970924642,0.13624548932842515,1.2634714174584074,1.2976568458448834
8.8,8.529814971054293,0.13799143425792956,1.2757576231981662,1.27317779042072
8.9,8.529814971183942,0.1397597529460948,1.2881633020414662,1.2491605089673705
9.0,8.529814971313593,0.1415507321059026,1.3006896157645935,1.225596290560478
9.1,8.529814971443244,0.14336466212447516,1.3133377374411388,1.2024765885989437
9.2,8.529814971572895,0.14520183711015827,1.326108851551856,1.1797930177051246
9.3,8.529814971702546,0.14706255494020773,1.3390041540955857,1.157537350683508
9.4,8.529814971832197,0.14894711730908644,1.3520248527012597,1.1357015155367582
9.5,8.529814971961846,0.1508558297773813,1.3651721667409944,1.1142775925380477
9.6,8.529814972091499,0.15278900182134594,1.3784473274442828,1.093257811358623
9.7,8.529814972221148,0.1547469468830792,1.3918515780132976,1.0726345482495514
9.8,8.5298149723508,0.15672998242134586,1.4053861737393163,1.0524003232766328
9.9,8.52981497248045,0.15873842996304938,1.4190523821202763,1.0325477976074735
10.0,8.529814972610103,0.1607726151553635,1.4328514829794756,1.013069770849734
10.1,8.529814972739752,0.16283286781853265,1.4467847685854267,0.9939591784395898
10.2,8.529814972869401,0.16491952199934828,1.4608535437728754,0.9752090890794579
10.3,8.529814972999054,0.16703291602531092,1.475059126064997,0.9568127022240552
10.4,8.529814973128703,0.1691733925594862,1.4894028457967812,0.938763345613883
10.5,8.529814973258356,0.17134129865606387,1.5038860462396142,0.9210544728552355
10.6,8.529814973388005,0.1735369858166284,1.5185100837270795,0.9036796610458645
10.7,8.529814973517656,0.17576081004715144,1.5332763277819694,0.8866326084454308
10.8,8.529814973647307,0.178013131915714,1.5481861612445467,0.8699071321898997
10.9,8.529814973776958,0.1802943166109683,1.5632409804020393,0.8534971660490538
11.0,8.529814973906609,0.1826047340013494,1.5784421951194063,0.8373967582263078
11.1,8.529814974036258,0.18494475869504504,1.5937912289713663,0.8216000692000268
11.2,8.529814974165909,0.18731477010073394,1.6092895193757155,0.8061013696055672
11.3,8.52981497429556,0.18971515248910292,1.6249385177279385,0.7908950381572702
11.4,8.52981497442521,0.1921462950551519,1.6407396895371305,0.7759755596096564
11.5,8.529814974554862,0.1946085919812976,1.656694514563241,0.761337522757076
11.6,8.529814974684513,0.1971024425012858,1.6728044869556504,0.7469756184711002
11.7,8.529814974814162,0.1996282509649224,1.6890711153930962,0.7328846377749305
11.8,8.529814974943815,0.2021864269036346,1.7054959232249574,0.7190594699541343
11.9,8.529814975073464,0.20477738509687124,1.7220804486139145,0.7054951007030198
12.0,8.529814975203116,0.20740154563935503,1.7388262446799998,0.692186610305976
12.1,8.529814975332766,0.2100593340091962,1.7557348796460406,0.6791291718531227
12.2,8.529814975462415,0.21275118113687883,1.772807936984523,0.6663180494896179
12.3,8.529814975592068,0.21547752347513127,1.7900470155658845,0.6537485966979925
12.4,8.529814975721717,0.21823880306969232,1.8074537298082407,0.6414162546128861
12.5,8.52981497585137,0.22103546763098397,1.8250297098285795,0.6293165503675738
12.6,8.529814975981019,0.2238679706067022,1.8427766015954157,0.6174450954716834
12.7,8.52981497611067,0.2267367712553389,1.8606960670829362,0.605797584219517
12.8,8.52981497624032,0.22964233472064535,1.8787897844266397,0.5943697921283972
12.9,8.529814976369972,0.23258513210704962,1.897059448080493,0.5831575744064722
13.0,8.529814976499623,0.23556564055604162,1.915506768975615,0.5721568644494247
13.1,8.529814976629273,0.23858434332353545,1.9341334746805021,0.5613636723655392
13.2,8.529814976758923,0.24164172985822463,1.9529413095628143,0.5507740835285915
13.3,8.529814976888574,0.24473829588094015,1.971932034952732,0.5403842571580376
13.4,8.529814977018225,0.24787454346502608,1.9911074293079012,0.5301904249259853
13.5,8.529814977147876,0.2510509811177454,2.0104692883799875,0.5201888895904447
13.6,8.529814977277526,0.2542681238627287,2.030019425382842,0.5103760236543601
13.7,8.529814977407177,0.25752649332347904,2.0497596711623087,0.5007482680499384
13.8,8.529814977536828,0.26082661780794786,2.06969187436768,0.49130213084779734
13.9,8.529814977666478,0.26416903239419404,2.0898179016248224,0.48203418599046316
14.0,8.52981497779613,0.2675542790171404,2.11013963771098,0.4729410720497593
14.1,8.52981497792578,0.2709829065564429,2.130658985731285,0.46401949100763784
14.2,8.529814978055432,0.274455470925485,2.1513778672969788,0.4552662070600065
14.3,8.529814978185081,0.2779725351615127,2.1722982227053698,0.4466780454431235
14.4,8.52981497831473,0.2815346695169249,2.19342201112154,0.4382518912821288
14.5,8.529814978444383,0.2851424515517333,2.214751210761817,0.42998468846129784
14.6,8.529814978574032,0.2887964662272073,2.2362878190790334,0.42187343851560627
14.7,8.529814978703685,0.2924973060007188,2.2580338529495823,0.4139151995432052
14.8,8.529814978833334,0.2962455709218029,2.2799913488623,0.4061070851384105
14.9,8.529814978962985,0.3000418687294482,2.302162363109176,0.39844626334482147
15.0,8.529814979092636,0.3038868149506359,2.324548971977927,0.3909299556281861
15.1,8.529814979222287,0.30778103300014037,2.3471532719464347,0.38355543586864416
15.2,8.529814979351938,0.31172515428160796,2.3699773798790793,0.3763200293719794
15.3,8.52981497948159,0.3157198182899335,2.3930234332249807,0.369221111899524
15.4,8.529814979611238,0.3197656727149457,2.416293590218171,0.3622561087163639
15.5,8.529814979740891,0.3238633735464239,2.439790030079706,0.3554224936574953
15.6,8.52981497987054,0.3280135851804585,2.463514953221751,0.3487177882116026
15.7,8.529814980000191,0.3322169805271762,2.487470581453642,0.3421395606221157
