,Force (pN),,,,,,,,,,,,,
t (s),0,3,6,9,12,15,18,21,24,27,30,33,36,39
0.43,0.283351163,0.521327737,0.704906927,0.821965397,0.892961047,0.935876972,0.962045253,0.978075945,0.98780963,0.993559005,0.996796848,0.998504622,0.999338632,0.999715957
0.44,0.285239023,0.525630568,0.709758499,0.82630074,0.896474418,0.938552077,0.963969696,0.97937829,0.988631502,0.994037117,0.997049805,0.998624625,0.999389047,0.999734594
0.45,0.287046294,0.529703953,0.714278492,0.830288055,0.899673137,0.940966309,0.965691741,0.980533174,0.989352929,0.994451848,0.997266171,0.998725577,0.999430638,0.999749626
0.46,0.288775882,0.533557449,0.718486331,0.833952808,0.902583819,0.943144234,0.96723224,0.981557104,0.989986117,0.994811577,0.997451234,0.998810501,0.999464948,0.99976175
0.47,0.290430637,0.537200532,0.722400774,0.837319004,0.905231108,0.945108273,0.968609987,0.982464783,0.990541806,0.995123584,0.997609519,0.998881942,0.999493253,0.999771528
0.48,0.292013349,0.540642551,0.726039854,0.840409208,0.907637768,0.946878852,0.969841899,0.983269292,0.991029439,0.995394187,0.997744898,0.998942039,0.999516603,0.999779415
0.49,0.293526744,0.543892694,0.729420851,0.843244564,0.909824789,0.948474558,0.970943191,0.983982266,0.99145732,0.995628871,0.997860684,0.998992593,0.999535865,0.999785777
0.5,0.294973485,0.546959956,0.732560261,0.845844842,0.911811484,0.949912283,0.971927537,0.984614049,0.991832745,0.995832397,0.99795971,0.99903512,0.999551756,0.999790907
0.51,0.296356165,0.549853113,0.735473792,0.848228483,0.913615603,0.951207357,0.972807212,0.985173831,0.992162126,0.996008896,0.998044402,0.999070894,0.999564865,0.999795046
0.52,0.297677307,0.552580703,0.738176357,0.850412655,0.915253426,0.952373684,0.973593235,0.985669771,0.992451096,0.996161955,0.998116834,0.999100987,0.99957568,0.999798383
0.53,0.298939367,0.555151003,0.740682079,0.852413311,0.916739875,0.95342386,0.974295486,0.986109118,0.992704601,0.996294682,0.998178779,0.999126301,0.999584601,0.999801075
0.54,0.300144725,0.557572022,0.743004307,0.85424525,0.918088602,0.954369286,0.974922821,0.986498301,0.992926986,0.996409776,0.998231756,0.999147595,0.999591961,0.999803247
0.55,0.301295692,0.559851489,0.745155627,0.85592218,0.91931209,0.955220278,0.975483175,0.986843028,0.993122064,0.996509579,0.998277063,0.999165507,0.999598032,0.999804998
0.56,0.302394507,0.561996845,0.74714789,0.857456781,0.920421742,0.955986159,0.975983653,0.987148358,0.993293184,0.99659612,0.99831581,0.999180575,0.999603041,0.999806411
0.57,0.303443335,0.564015242,0.74899223,0.858860769,0.921427961,0.956675355,0.976430618,0.987418783,0.993443282,0.996671162,0.998348947,0.99919325,0.999607172,0.99980755
0.58,0.304444271,0.56591354,0.750699095,0.860144956,0.922340233,0.957295473,0.976829761,0.987658281,0.99357494,0.99673623,0.998377285,0.999203912,0.999610581,0.999808469
0.59,0.305399338,0.567698307,0.752278274,0.861319308,0.923167205,0.957853378,0.977186176,0.987870382,0.99369042,0.996792651,0.99840152,0.999212881,0.999613393,0.99980921
0.6,0.306310489,0.569375821,0.753738926,0.862393008,0.923916747,0.958355267,0.977504419,0.988058213,0.993791708,0.996841573,0.998422246,0.999220425,0.999615712,0.999809808
0.61,0.307179609,0.570952077,0.755089612,0.863374502,0.924596024,0.958806725,0.977788563,0.988224546,0.993880547,0.996883992,0.99843997,0.999226772,0.999617626,0.99981029
0.62,0.308008512,0.572432788,0.756338323,0.864271561,0.925211553,0.959212789,0.97804225,0.988371839,0.993958466,0.996920772,0.998455128,0.99923211,0.999619204,0.999810679
0.63,0.308798949,0.573823395,0.757492515,0.865091323,0.925769258,0.959578,0.978268735,0.988502267,0.994026806,0.996952664,0.998468091,0.9992366,0.999620507,0.999810992
0.64,0.309552602,0.575129072,0.758559131,0.865840346,0.926274525,0.959906447,0.978470928,0.988617759,0.994086745,0.996980316,0.998479177,0.999240378,0.999621581,0.999811245
0.65,0.31027109,0.576354731,0.759544639,0.866524647,0.926732244,0.960201815,0.978651427,0.988720024,0.994139315,0.997004293,0.998488657,0.999243555,0.999622467,0.999811449
0.66,0.31095597,0.577505036,0.760455052,0.867149745,0.927146859,0.960467423,0.978812557,0.988810575,0.99418542,0.997025082,0.998496765,0.999246228,0.999623198,0.999811614
0.67,0.311608738,0.578584409,0.761295964,0.867720703,0.927522403,0.960706259,0.978956391,0.988890752,0.994225857,0.997043107,0.998503698,0.999248477,0.999623801,0.999811746
0.68,0.312230829,0.579597036,0.762072568,0.868242159,0.927862535,0.960921012,0.979084783,0.988961744,0.994261322,0.997058736,0.998509627,0.999250368,0.999624299,0.999811853
0.69,0.312823623,0.580546881,0.762789689,0.868718363,0.928170578,0.961114104,0.979199389,0.989024602,0.994292425,0.997072287,0.998514698,0.999251959,0.999624709,0.99981194
0.7,0.313388442,0.581437693,0.7634518,0.869153207,0.928449545,0.961287715,0.979301687,0.989080257,0.994319703,0.997084037,0.998519035,0.999253297,0.999625048,0.999812009
0.71,0.313926554,0.582273012,0.764063054,0.869550254,0.928702167,0.961443805,0.979392997,0.989129534,0.994343627,0.997094224,0.998522743,0.999254423,0.999625327,0.999812066
0.72,0.314439175,0.583056185,0.764627298,0.869912765,0.928930924,0.961584138,0.979474498,0.989173164,0.994364609,0.997103057,0.998525914,0.99925537,0.999625558,0.999812111
0.73,0.314927469,0.583790368,0.765148097,0.870243724,0.929138062,0.961710304,0.979547243,0.989211793,0.99438301,0.997110716,0.998528626,0.999256166,0.999625748,0.999812147
0.74,0.315392552,0.584478539,0.765628753,0.870545859,0.929325617,0.961823729,0.979612172,0.989245995,0.994399148,0.997117356,0.998530946,0.999256836,0.999625905,0.999812177
0.75,0.315835493,0.585123508,0.766072326,0.870821668,0.929495436,0.961925698,0.979670124,0.989276277,0.994413301,0.997123114,0.998532929,0.9992574,0.999626034,0.999812201
0.76,0.316257313,0.585727919,0.766481644,0.871073432,0.929649191,0.962017366,0.979721849,0.989303088,0.994425714,0.997128106,0.998534625,0.999257874,0.999626141,0.99981222
0.77,0.31665899,0.586294264,0.766859328,0.871303238,0.929788398,0.962099774,0.979768014,0.989326825,0.9944366,0.997132435,0.998536076,0.999258273,0.999626229,0.999812235
0.78,0.317041461,0.586824889,0.767207799,0.871512993,0.929914432,0.962173855,0.979809218,0.989347842,0.994446147,0.997136188,0.998537316,0.999258608,0.999626301,0.999812248
0.79,0.317405619,0.587322003,0.767529297,0.871704439,0.930028535,0.96224045,0.979845993,0.989366449,0.99445452,0.997139442,0.998538377,0.999258891,0.999626361,0.999812258
0.8,0.317752321,0.587787681,0.767825896,0.871879169,0.930131836,0.962300315,0.979878815,0.989382923,0.994461863,0.997142263,0.998539284,0.999259128,0.999626411,0.999812266
0.81,0.318082382,0.588223879,0.768099508,0.872038638,0.930225355,0.962354129,0.979908109,0.989397509,0.994468302,0.997144709,0.99854006,0.999259328,0.999626451,0.999812273
0.82,0.318396585,0.58863243,0.768351904,0.872184174,0.930310018,0.962402504,0.979934254,0.989410422,0.99447395,0.99714683,0.998540724,0.999259496,0.999626485,0.999812278
0.83,0.318695675,0.589015062,0.768584719,0.872316992,0.930386661,0.962445989,0.979957589,0.989421856,0.994478903,0.997148669,0.998541291,0.999259637,0.999626513,0.999812282
0.84,0.318980364,0.589373394,0.768799464,0.872438201,0.930456045,0.962485078,0.979978415,0.989431978,0.994483247,0.997150264,0.998541776,0.999259756,0.999626536,0.999812286
0.85,0.319251333,0.58970895,0.768997533,0.872548813,0.930518855,0.962520215,0.979997001,0.98944094,0.994487056,0.997151646,0.998542191,0.999259856,0.999626555,0.999812288
0.86,0.31950923,0.590023159,0.769180216,0.872649752,0.930575714,0.9625518,0.98001359,0.989448874,0.994490397,0.997152845,0.998542546,0.99925994,0.99962657,0.999812291
0.87,0.319754677,0.590317363,0.769348703,0.872741862,0.930627185,0.962580191,0.980028395,0.989455899,0.994493327,0.997153884,0.99854285,0.999260011,0.999626583,0.999812292
0.88,0.319988263,0.590592823,0.769504092,0.872825916,0.930673779,0.962605712,0.980041608,0.989462119,0.994495897,0.997154785,0.998543109,0.99926007,0.999626594,0.999812294
0.89,0.320210553,0.59085072,0.769647398,0.872902616,0.930715956,0.962628652,0.980053401,0.989467625,0.994498151,0.997155567,0.998543331,0.99926012,0.999626602,0.999812295
0.9,0.320422086,0.591092164,0.769779557,0.872972604,0.930754137,0.962649272,0.980063926,0.9894725,0.994500127,0.997156244,0.998543521,0.999260162,0.99962661,0.999812296
0.91,0.320623374,0.591318195,0.769901433,0.873036468,0.930788698,0.962667807,0.980073319,0.989476816,0.99450186,0.997156831,0.998543683,0.999260198,0.999626615,0.999812297
0.92,0.320814907,0.591529789,0.770013824,0.873094742,0.930819983,0.962684468,0.980081702,0.989480637,0.99450338,0.997157341,0.998543822,0.999260228,0.99962662,0.999812297
0.93,0.320997153,0.59172786,0.770117467,0.873147916,0.930848303,0.962699444,0.980089184,0.98948402,0.994504713,0.997157782,0.998543941,0.999260253,0.999626624,0.999812298
0.94,0.321170555,0.591913267,0.77021304,0.873196435,0.930873938,0.962712905,0.980095861,0.989487016,0.994505883,0.997158165,0.998544042,0.999260274,0.999626628,0.999812298
0.95,0.321335539,0.592086813,0.770301171,0.873240706,0.930897143,0.962725005,0.98010182,0.989489668,0.994506908,0.997158497,0.998544129,0.999260291,0.999626631,0.999812298
0.96,0.321492508,0.592249254,0.770382438,0.873281102,0.930918147,0.962735881,0.980107139,0.989492015,0.994507807,0.997158785,0.998544203,0.999260306,0.999626633,0.999812299
0.97,0.321641848,0.592401294,0.770457374,0.87331796,0.930937161,0.962745658,0.980111886,0.989494094,0.994508596,0.997159034,0.998544267,0.999260319,0.999626635,0.999812299
0.98,0.321783926,0.592543597,0.770526471,0.873351591,0.930954372,0.962754445,0.980116122,0.989495934,0.994509287,0.997159251,0.998544321,0.999260329,0.999626636,0.999812299
0.99,0.321919091,0.592676783,0.770590185,0.873382277,0.93096995,0.962762344,0.980119903,0.989497564,0.994509894,0.997159438,0.998544367,0.999260338,0.999626638,0.999812299
1,0.322047678,0.592801433,0.770648933,0.873410275,0.930984052,0.962769444,0.980123277,0.989499006,0.994510426,0.997159601,0.998544407,0.999260346,0.999626639,0.999812299
