F,k₋f
29.7,95.7277623999033
29.8,96.68154296632818
29.9,97.64482649559352
30.0,98.61770767017235
30.1,99.60028211590365
30.2,100.59264641139116
30.3,101.59489809749688
30.4,102.60713568692792
30.5,103.62945867391974
30.6,104.66196754401543
30.7,105.7047637839427
30.8,106.75794989158906
30.9,107.8216293860766
31.0,108.8959068179369
31.1,109.98088777938752
31.2,111.07667891471064
31.3,112.18338793073555
31.4,113.30112360742511
31.5,114.42999580856798
31.6,115.57011549257723
31.7,116.72159472339659
31.8,117.88454668151532
31.9,119.05908567509302
32.0,120.24532715119518
32.1,121.44338770714027
32.2,122.65338510196065
32.3,123.87543826797712
32.4,125.10966732248885
32.5,126.35619357958005
32.6,127.61513956204404
32.7,128.88662901342596
32.8,130.17078691018597
32.9,131.4677394739837
33.0,132.77761418408366
33.1,134.10053978988643
33.2,135.43664632358318
33.3,136.78606511293646
33.4,138.14892879418943
33.5,139.52537132510193
33.6,140.91552799811774
33.7,142.3195354536627
33.8,143.7375316935753
33.9,145.16965609467115
34.0,146.61604942244222
34.1,148.0768538448932
34.2,149.55221294651506
34.3,151.04227174239844
34.4,152.5471766924875
34.5,154.06707571597516
34.6,155.60211820584277
34.7,157.15245504354394
34.8,158.7182386138349
34.9,160.2996228197527
35.0,161.8967630977424
35.1,163.5098164329353
35.2,165.13894137457905
35.3,166.78429805162173
35.4,168.44604818845156
35.5,170.12435512079213
35.6,171.81938381175766
35.7,173.53130086806735
35.8,175.26027455642065
35.9,177.00647482003794
36.0,178.77007329536278
36.1,180.55124332893328
36.2,182.3501599944204
36.3,184.16700010983615
36.4,186.0019422549134
36.5,187.8551667886584
36.6,189.7268558670789
36.7,191.61719346108805
36.8,193.5263653745874
36.9,195.4545592627307
37.0,197.40196465036686
37.1,199.36877295067026
37.2,201.3551774839545
37.3,203.36137349667365
37.4,205.38755818061426
37.5,207.43393069227687
37.6,209.50069217245132
37.7,211.58804576598774
37.8,213.6961966417635
37.9,215.82535201284966
38.0,217.9757211568783
38.1,220.14751543661257
38.2,222.34094832072202
38.3,224.55623540476424
38.4,226.79359443237692
38.5,229.05324531667947
38.6,231.3354101618886
38.7,233.6403132851497
38.8,235.9681812385847
38.9,238.31924283156113
39.0,240.6937291531808
39.1,243.091873594995
39.2,245.51391187394412
39.3,247.96008205552693
39.4,250.4306245772012
39.5,252.9257822720143
39.6,255.44580039247447
39.7,257.9909266346546
39.8,260.5614111625402
39.9,263.15750663261804
40.0,265.7794682187092
